#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=0.9; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (s=0.9) [Magnitude]"
#--------------------------------------------------------
2.0000000000000	-0.0044472027667087
2.0100000000000	-0.0044944920885726
2.0200000000000	-0.0045433180967002
2.0300000000000	-0.0045936789842957
2.0400000000000	-0.0046455733663458
2.0500000000000	-0.0046990002828472
2.0600000000000	-0.0047539592021492
2.0700000000000	-0.0048104500244820
2.0800000000000	-0.0048684730855131
2.0900000000000	-0.0049280291601143
2.1000000000000	-0.0049891194661863
2.1100000000000	-0.0050517456686810
2.1200000000000	-0.0051159098837271
2.1300000000000	-0.0051816146828721
2.1400000000000	-0.0052488630975839
2.1500000000000	-0.0053176586237183
2.1600000000000	-0.0053880052263072
2.1700000000000	-0.0054599073444251
2.1800000000000	-0.0055333698962275
2.1900000000000	-0.0056083982841396
2.2000000000000	-0.0056849984002986
2.2100000000000	-0.0057631766321080
2.2200000000000	-0.0058429398678323
2.2300000000000	-0.0059242955027374
2.2400000000000	-0.0060072514451613
2.2500000000000	-0.0060918161226288
2.2600000000000	-0.0061779984887283
2.2700000000000	-0.0062658080295215
2.2800000000000	-0.0063552547706787
2.2900000000000	-0.0064463492845676
2.3000000000000	-0.0065391026977091
2.3100000000000	-0.0066335266984042
2.3200000000000	-0.0067296335445225
2.3300000000000	-0.0068274360717531
2.3400000000000	-0.0069269477018668
2.3500000000000	-0.0070281824515028
2.3600000000000	-0.0071311549409289
2.3700000000000	-0.0072358804033424
2.3800000000000	-0.0073423746943416
2.3900000000000	-0.0074506543016344
2.4000000000000	-0.0075607363552390
2.4100000000000	-0.0076726386377428
2.4200000000000	-0.0077863795951645
2.4300000000000	-0.0079019783479316
2.4400000000000	-0.0080194547022373
2.4500000000000	-0.0081388291619553
2.4600000000000	-0.0082601229405945
2.4700000000000	-0.0083833579737698
2.4800000000000	-0.0085085569322455
2.4900000000000	-0.0086357432351515
2.5000000000000	-0.0087649410635653
2.5100000000000	-0.0088961753747793
2.5200000000000	-0.0090294719166431
2.5300000000000	-0.0091648572428470
2.5400000000000	-0.0093023587280887
2.5500000000000	-0.0094420045842441
2.5600000000000	-0.0095838238766174
2.5700000000000	-0.0097278465410400
2.5800000000000	-0.0098741034011830
2.5900000000000	-0.010022626186704
2.6000000000000	-0.010173447551713
2.6100000000000	-0.010326601093918
2.6200000000000	-0.010482121374425
