#Parameters = {alpha=0; d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1; t=0.035; theta=30; w=7}
#"Frequency / GHz"	"RCS (square meters),Theta=theta,Phi=phi (2) [Real Part]"
#---------------------------------------------------------------------------
2.0000000000000	1.1275226740279e-06
2.1000000000000	0.00017076462969523
2.2000000000000	0.00033055794267115
2.3000000000000	0.00025997850573980
2.4000000000000	8.4651484792791e-05
2.5000000000000	1.1539088666259e-06
2.6000000000000	3.6497094226576e-05
2.7000000000000	8.4674719039237e-05
2.8000000000000	7.2107132704873e-05
2.9000000000000	2.4409578187814e-05
3.0000000000000	2.1841152670567e-07
3.1000000000000	1.3538747912282e-05
3.2000000000000	3.3134196048435e-05
3.3000000000000	3.1855242735968e-05
3.4000000000000	1.4543223507012e-05
3.5000000000000	1.5551951663210e-06
3.6000000000000	1.1125592971590e-06
3.7000000000000	4.9163806120938e-06
3.8000000000000	5.0962188823806e-06
3.9000000000000	7.0414349348513e-06
4.0000000000000	2.2570499037167e-05
4.1000000000000	5.2563482655668e-05
4.2000000000000	8.0776719002183e-05
4.3000000000000	9.0660188456376e-05
4.4000000000000	9.3097941847319e-05
4.5000000000000	0.00013481782846823
4.6000000000000	0.00026543360986207
4.7000000000000	0.00047906687958948
4.8000000000000	0.00068574761588427
4.9000000000000	0.00076248096868234
5.0000000000000	0.00066748731303792
5.1000000000000	0.00052240263520264
5.2000000000000	0.00056068374140472
5.3000000000000	0.00094199464324560
5.4000000000000	0.0015702623549022
5.5000000000000	0.0020934614630315
5.6000000000000	0.0021368905766494
5.7000000000000	0.0016140064705611
5.8000000000000	0.00085484917229268
5.9000000000000	0.00041033283780177
6.0000000000000	0.00065394838736641
6.1000000000000	0.0014888039439945
6.2000000000000	0.0024020303014452
6.3000000000000	0.0028321789891478
6.4000000000000	0.0025608979934001
6.5000000000000	0.0018266747012817
6.6000000000000	0.0010957210131385
6.7000000000000	0.00070290551016165
6.8000000000000	0.00065647301019755
6.9000000000000	0.00073062631371801
7.0000000000000	0.00071652859295622
7.1000000000000	0.00059210936990838
7.2000000000000	0.00048253881780432
7.3000000000000	0.00049055553416533
7.4000000000000	0.00058114914058440
7.5000000000000	0.00062580932836359
7.6000000000000	0.00054377144772894
7.7000000000000	0.00038927907151523
7.8000000000000	0.00029950883236685
7.9000000000000	0.00035988167709495
8.0000000000000	0.00051943355097887
8.1000000000000	0.00063350655169844
8.2000000000000	0.00058879838941472
8.3000000000000	0.00039683455795731
8.4000000000000	0.00018253223766033
8.5000000000000	9.2496174161041e-05
8.6000000000000	0.00020562888636110
8.7000000000000	0.00050316938440037
8.8000000000000	0.00088980719232228
8.9000000000000	0.0012265768662388
9.0000000000000	0.0013631227399917
9.1000000000000	0.0011942051198742
9.2000000000000	0.00075123418882489
9.3000000000000	0.00027359528274143
9.4000000000000	0.00015880900747961
9.5000000000000	0.00074324583813146
9.6000000000000	0.0020109594354923
9.7000000000000	0.0034561806868916
9.8000000000000	0.0042938100027495
9.9000000000000	0.0039826724874571
10.000000000000	0.0027346785255979
10.100000000000	0.0015753534100677
10.200000000000	0.0017629295915768
10.300000000000	0.0038631113084356
10.400000000000	0.0071528185506767
10.500000000000	0.0099181135139998
10.600000000000	0.010583856210780
10.700000000000	0.0088973548252443
10.800000000000	0.0062068590827895
10.900000000000	0.0044996164193337
11.000000000000	0.0048797844355119
11.100000000000	0.0067148738425825
11.200000000000	0.0082022720317877
11.300000000000	0.0079140620453993
11.400000000000	0.0059986067586632
11.500000000000	0.0039877676930134
11.600000000000	0.0033997994385726
11.700000000000	0.0044158992822619
11.800000000000	0.0058115584205438
11.900000000000	0.0061223949071630
12.000000000000	0.0048903103546457
