#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1.1; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) (s=1.1) [Magnitude]"
#--------------------------------------------------------
2.0000000000000	-47.531415753617
2.0100000000000	-47.380658718526
2.0200000000000	-47.230412422608
2.0300000000000	-47.080670494962
2.0400000000000	-46.931426633013
2.0500000000000	-46.782674601766
2.0600000000000	-46.634408233019
2.0700000000000	-46.486621424589
2.0800000000000	-46.339308139508
2.0900000000000	-46.192462405236
2.1000000000000	-46.046078312833
2.1100000000000	-45.900150016180
2.1200000000000	-45.754671731125
2.1300000000000	-45.609637734675
2.1400000000000	-45.465042364206
2.1500000000000	-45.320880016581
2.1600000000000	-45.177145147387
2.1700000000000	-45.033832270062
2.1800000000000	-44.890935955130
2.1900000000000	-44.748450829312
2.2000000000000	-44.606371574779
2.2100000000000	-44.464692928289
2.2200000000000	-44.323409680401
2.2300000000000	-44.182516674655
2.2400000000000	-44.042008806783
2.2500000000000	-43.901881023904
2.2600000000000	-43.762128323712
2.2700000000000	-43.622745753776
2.2800000000000	-43.483728410617
2.2900000000000	-43.345071439063
2.3000000000000	-43.206770031414
2.3100000000000	-43.068819426671
2.3200000000000	-42.931214909853
2.3300000000000	-42.793951811128
2.3400000000000	-42.657025505214
2.3500000000000	-42.520431410520
2.3600000000000	-42.384164988473
2.3700000000000	-42.248221742808
2.3800000000000	-42.112597218826
2.3900000000000	-41.977287002692
2.4000000000000	-41.842286720745
2.4100000000000	-41.707592038800
2.4200000000000	-41.573198661485
2.4300000000000	-41.439102331477
2.4400000000000	-41.305298828976
2.4500000000000	-41.171783970888
2.4600000000000	-41.038553610289
2.4700000000000	-40.905603635723
2.4800000000000	-40.772929970532
2.4900000000000	-40.640528572274
2.5000000000000	-40.508395432078
2.5100000000000	-40.376526574011
2.5200000000000	-40.244918054469
2.5300000000000	-40.113565961578
2.5400000000000	-39.982466414581
