#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1.3; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) [Phase in Degrees]"
#-------------------------------------------------------
2.0000000000000	-155.41259479882
2.0100000000000	-155.74387249822
2.0200000000000	-156.07539557662
2.0300000000000	-156.40716258350
2.0400000000000	-156.73917221583
2.0500000000000	-157.07142331218
2.0600000000000	-157.40391484724
2.0700000000000	-157.73664592649
2.0800000000000	-158.06961578126
2.0900000000000	-158.40282376380
2.1000000000000	-158.73626934287
2.1100000000000	-159.06995209931
2.1200000000000	-159.40387172189
2.1300000000000	-159.73802800342
2.1400000000000	-160.07242083701
2.1500000000000	-160.40705021241
2.1600000000000	-160.74191621271
2.1700000000000	-161.07701901106
2.1800000000000	-161.41235886759
2.1900000000000	-161.74793612647
2.2000000000000	-162.08375121319
2.2100000000000	-162.41980463180
2.2200000000000	-162.75609696248
2.2300000000000	-163.09262885907
2.2400000000000	-163.42940104694
2.2500000000000	-163.76641432059
2.2600000000000	-164.10366954185
2.2700000000000	-164.44116763772
2.2800000000000	-164.77890959867
2.2900000000000	-165.11689647681
2.3000000000000	-165.45512938424
2.3100000000000	-165.79360949150
2.3200000000000	-166.13233802600
2.3300000000000	-166.47131627074
2.3400000000000	-166.81054556290
2.3500000000000	-167.15002729253
2.3600000000000	-167.48976290144
2.3700000000000	-167.82975388209
2.3800000000000	-168.17000177644
2.3900000000000	-168.51050817505
2.4000000000000	-168.85127471612
2.4100000000000	-169.19230308460
2.4200000000000	-169.53359501136
2.4300000000000	-169.87515227248
2.4400000000000	-170.21697668846
2.4500000000000	-170.55907012361
2.4600000000000	-170.90143448546
2.4700000000000	-171.24407172408
2.4800000000000	-171.58698383166
2.4900000000000	-171.93017284201
2.5000000000000	-172.27364083003
2.5100000000000	-172.61738991144
2.5200000000000	-172.96142224236
2.5300000000000	-173.30574001890
2.5400000000000	-173.65034547703
2.5500000000000	-173.99524089219
2.5600000000000	-174.34042857915
2.5700000000000	-174.68591089179
2.5800000000000	-175.03169022294
2.5900000000000	-175.37776900428
2.6000000000000	-175.72414970622
2.6100000000000	-176.07083483785
2.6200000000000	-176.41782694690
2.6300000000000	-176.76512861973
2.6400000000000	-177.11274248135
2.6500000000000	-177.46067119547
2.6600000000000	-177.80891746457
2.6700000000000	-178.15748402998
2.6800000000000	-178.50637367203
2.6900000000000	-178.85558921019
2.7000000000000	-179.20513350321
2.7100000000000	-179.55500944936
2.7200000000000	-179.90521998660
2.7300000000000	179.74423190714
2.7400000000000	179.39334321370
2.7500000000000	179.04211087445
2.7600000000000	178.69053178994
2.7700000000000	178.33860281959
2.7800000000000	177.98632078131
2.7900000000000	177.63368245119
2.8000000000000	177.28068456306
2.8100000000000	176.92732380809
2.8200000000000	176.57359683434
2.8300000000000	176.21950024635
2.8400000000000	175.86503060463
2.8500000000000	175.51018442516
2.8600000000000	175.15495817891
2.8700000000000	174.79934829124
2.8800000000000	174.44335114143
2.8900000000000	174.08696306202
2.9000000000000	173.73018033827
2.9100000000000	173.37299920749
2.9200000000000	173.01541585845
2.9300000000000	172.65742643069
2.9400000000000	172.29902701385
2.9500000000000	171.94021364695
2.9600000000000	171.58098231768
2.9700000000000	171.22132896166
2.9800000000000	170.86124946166
2.9900000000000	170.50073964680
3.0000000000000	170.13979529178
3.0100000000000	169.77841211598
3.0200000000000	169.41658578268
3.0300000000000	169.05431189811
3.0400000000000	168.69158601059
3.0500000000000	168.32840360958
