#Parameters = {alpha=0; d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"RCS (square meters),Theta=theta,Phi=phi [Real Part]"
#-----------------------------------------------------------------------
2.0000000000000	0.00098661413904260
2.1000000000000	0.016771075827643
2.2000000000000	0.034601888854171
2.3000000000000	0.029376595487188
2.4000000000000	0.011037116791749
2.5000000000000	0.00047800561373231
2.6000000000000	0.0026625528803203
2.7000000000000	0.0071728611829983
2.8000000000000	0.0057582533253101
2.9000000000000	0.0012958263965420
3.0000000000000	0.00064660098776169
3.1000000000000	0.0046083023817901
3.2000000000000	0.0077843337913061
3.3000000000000	0.0062594985903845
3.4000000000000	0.0022556704152739
3.5000000000000	0.00073607656198271
3.6000000000000	0.0032655166275523
3.7000000000000	0.0066353359656351
3.8000000000000	0.0070402991864316
3.9000000000000	0.0042386112039709
4.0000000000000	0.0011317757299696
4.1000000000000	7.5382948855256e-05
4.2000000000000	0.00060536614475660
4.3000000000000	0.00085735710212944
4.4000000000000	0.00040142693204318
4.5000000000000	0.00089587115182902
4.6000000000000	0.0038858811366460
4.7000000000000	0.0084614664423355
4.8000000000000	0.011563143611412
4.9000000000000	0.010730092882205
5.0000000000000	0.0064906634761521
5.1000000000000	0.0020475208488055
5.2000000000000	0.00064456267776617
5.3000000000000	0.0030941951195994
5.4000000000000	0.0075066723508507
5.5000000000000	0.011090914786819
5.6000000000000	0.012236852940484
5.7000000000000	0.011267329872273
5.8000000000000	0.0096753071733555
5.9000000000000	0.0088319255497670
6.0000000000000	0.0092037825470789
6.1000000000000	0.010396431567321
6.2000000000000	0.011682607558934
6.3000000000000	0.012525162727859
6.4000000000000	0.012815102021519
6.5000000000000	0.012792346156055
6.6000000000000	0.012771213601901
6.7000000000000	0.012875375322113
6.8000000000000	0.012980502634916
6.9000000000000	0.012906499486795
7.0000000000000	0.012671424572736
7.1000000000000	0.012536065443158
7.2000000000000	0.012760744307487
7.3000000000000	0.013299905243909
7.4000000000000	0.013749672208335
7.5000000000000	0.013628333110175
7.6000000000000	0.012756251385637
7.7000000000000	0.011442217258060
7.8000000000000	0.010410255936178
7.9000000000000	0.010604307331179
8.0000000000000	0.012946355980021
8.1000000000000	0.017947524472450
8.2000000000000	0.025151964122259
8.3000000000000	0.032786236036789
8.4000000000000	0.038224483910633
8.5000000000000	0.039440506700917
8.6000000000000	0.036653009611385
8.7000000000000	0.032774472068126
8.8000000000000	0.031874536961412
8.9000000000000	0.036430800440564
9.0000000000000	0.045365777018644
9.1000000000000	0.054517406857857
9.2000000000000	0.059364512001760
9.3000000000000	0.058022827930322
9.4000000000000	0.052303869714825
9.5000000000000	0.046192467290054
9.6000000000000	0.043063598654647
9.7000000000000	0.043715534962787
9.8000000000000	0.046400430688882
9.9000000000000	0.048455210451879
10.000000000000	0.048193082064745
10.100000000000	0.045880910774503
10.200000000000	0.043410043310297
10.300000000000	0.042998950909240
10.400000000000	0.045677330928146
10.500000000000	0.050441619176224
10.600000000000	0.054743097591379
10.700000000000	0.056216732249682
10.800000000000	0.054565508628689
10.900000000000	0.052119837569010
11.000000000000	0.052390182609038
11.100000000000	0.057468496923045
11.200000000000	0.066144643653688
11.300000000000	0.074213881869084
11.400000000000	0.077055646626448
11.500000000000	0.073191245857058
11.600000000000	0.066731336006635
11.700000000000	0.066509458469595
11.800000000000	0.080745202930931
11.900000000000	0.10912980337278
12.000000000000	0.13821579829047
