#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1.3; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) [Phase in Degrees]"
#-------------------------------------------------------
2.0000000000000	24.589454661509
2.0100000000000	24.257928798436
2.0200000000000	23.926178233093
2.0300000000000	23.594203469633
2.0400000000000	23.262004905591
2.0500000000000	22.929582836008
2.0600000000000	22.596937457272
2.0700000000000	22.264068870888
2.0800000000000	21.930977086963
2.0900000000000	21.597662027567
2.1000000000000	21.264123529901
2.1100000000000	20.930361349364
2.1200000000000	20.596375162419
2.1300000000000	20.262164569270
2.1400000000000	19.927729096546
2.1500000000000	19.593068199721
2.1600000000000	19.258181265467
2.1700000000000	18.923067613873
2.1800000000000	18.587726500584
2.1900000000000	18.252157118773
2.2000000000000	17.916358601037
2.2100000000000	17.580330021229
2.2200000000000	17.244070396151
2.2300000000000	16.907578687190
2.2400000000000	16.570853801791
2.2500000000000	16.233894594954
2.2600000000000	15.896699870595
2.2700000000000	15.559268382843
2.2800000000000	15.221598837264
2.2900000000000	14.883689891948
2.3000000000000	14.545540158732
2.3100000000000	14.207148204070
2.3200000000000	13.868512550101
2.3300000000000	13.529631675504
2.3400000000000	13.190504016319
2.3500000000000	12.851127966875
2.3600000000000	12.511501880325
2.3700000000000	12.171624069491
2.3800000000000	11.831492807445
2.3900000000000	11.491106328169
2.4000000000000	11.150462826997
2.4100000000000	10.809560461254
2.4200000000000	10.468397350618
2.4300000000000	10.126971577632
2.4400000000000	9.7852811880240
2.4500000000000	9.4433241911614
2.4600000000000	9.1010985602721
2.4700000000000	8.7586022327658
2.4800000000000	8.4158331105652
2.4900000000000	8.0727890602087
2.5000000000000	7.7294679130999
2.5100000000000	7.3858674656478
2.5200000000000	7.0419854794946
2.5300000000000	6.6978196814591
2.5400000000000	6.3533677637426
2.5500000000000	6.0086273839384
2.5600000000000	5.6635961650478
2.5700000000000	5.3182716954870
2.5800000000000	4.9726515290886
2.5900000000000	4.6267331849993
2.6000000000000	4.2805141476809
2.6100000000000	3.9339918667546
2.6200000000000	3.5871637569103
2.6300000000000	3.2400271977882
2.6400000000000	2.8925795337849
2.6500000000000	2.5448180739072
2.6600000000000	2.1967400915366
2.6700000000000	1.8483428242624
2.6800000000000	1.4996234735682
2.6900000000000	1.1505792046461
2.7000000000000	0.80120714608445
2.7100000000000	0.45150438957227
2.7200000000000	0.10146798956341
2.7300000000000	-0.24890503700239
2.7400000000000	-0.59961771110534
2.7500000000000	-0.95067309200212
2.7600000000000	-1.3020742776007
2.7700000000000	-1.6538244048877
2.7800000000000	-2.0059266503376
2.7900000000000	-2.3583842303740
2.8000000000000	-2.7112004017969
2.8100000000000	-3.0643784623073
2.8200000000000	-3.4179217509748
2.8300000000000	-3.7718336487490
2.8400000000000	-4.1261175790206
2.8500000000000	-4.4807770081307
2.8600000000000	-4.8358154459773
2.8700000000000	-5.1912364465741
2.8800000000000	-5.5470436086741
2.8900000000000	-5.9032405763817
2.9000000000000	-6.2598310397850
2.9100000000000	-6.6168187356436
2.9200000000000	-6.9742074480417
2.9300000000000	-7.3320010090841
2.9400000000000	-7.6902032996404
2.9500000000000	-8.0488182500472
2.9600000000000	-8.4078498408747
2.9700000000000	-8.7673021037097
2.9800000000000	-9.1271791219430
2.9900000000000	-9.4874850315830
3.0000000000000	-9.8482240220970
3.0100000000000	-10.209400337261
3.0200000000000	-10.571018276040
3.0300000000000	-10.933082193486
3.0400000000000	-11.295596501665
3.0500000000000	-11.658565670590
3.0600000000000	-12.021994229197
3.0700000000000	-12.385886766327
3.0800000000000	-12.750247931741
3.0900000000000	-13.115082437162
3.1000000000000	-13.480395057324
3.1100000000000	-13.846190631068
3.1200000000000	-14.212474062453
3.1300000000000	-14.579250321888
3.1400000000000	-14.946524447299
3.1500000000000	-15.314301545322
3.1600000000000	-15.682586792517
3.1700000000000	-16.051385436617
3.1800000000000	-16.420702797808
3.1900000000000	-16.790544270027
3.2000000000000	-17.160915322302
3.2100000000000	-17.531821500117
3.2200000000000	-17.903268426811
3.2300000000000	-18.275261805008
3.2400000000000	-18.647807418079
3.2500000000000	-19.020911131641
3.2600000000000	-19.394578895091
3.2700000000000	-19.768816743168
3.2800000000000	-20.143630797563
3.2900000000000	-20.519027268557
3.3000000000000	-20.895012456702
3.3100000000000	-21.271592754539
3.3200000000000	-21.648774648360
3.3300000000000	-22.026564720005
3.3400000000000	-22.404969648706
3.3500000000000	-22.783996212971
3.3600000000000	-23.163651292522
3.3700000000000	-23.543941870260
3.3800000000000	-23.924875034299
3.3900000000000	-24.306457980027
3.4000000000000	-24.688698012234
3.4100000000000	-25.071602547282
3.4200000000000	-25.455179115323
3.4300000000000	-25.839435362582
3.4400000000000	-26.224379053683
3.4500000000000	-26.610018074041
3.4600000000000	-26.996360432304
3.4700000000000	-27.383414262860
3.4800000000000	-27.771187828400
3.4900000000000	-28.159689522552
3.5000000000000	-28.548927872565
3.5100000000000	-28.938911542080
3.5200000000000	-29.329649333947
3.5300000000000	-29.721150193127
3.5400000000000	-30.113423209662
3.5500000000000	-30.506477621713
3.5600000000000	-30.900322818684
3.5700000000000	-31.294968344418
3.5800000000000	-31.690423900477
3.5900000000000	-32.086699349494
3.6000000000000	-32.483804718628
3.6100000000000	-32.881750203092
3.6200000000000	-33.280546169778
3.6300000000000	-33.680203160968
3.6400000000000	-34.080731898149
3.6500000000000	-34.482143285924
3.6600000000000	-34.884448416013
3.6700000000000	-35.287658571375
