#Parameters = {alpha=0; d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"RCS (square meters),Theta=theta,Phi=phi [Real Part]"
#-----------------------------------------------------------------------
2.0000000000000	6.3042342183332e-07
2.1000000000000	0.0053948374554107
2.2000000000000	0.010821658829076
2.3000000000000	0.0084261471291535
2.4000000000000	0.0025926767946767
2.5000000000000	3.8976437499099e-06
2.6000000000000	0.0013229768925461
2.7000000000000	0.0028287525617280
2.8000000000000	0.0022357217227838
2.9000000000000	0.00065766228587363
3.0000000000000	1.7301955921403e-05
3.1000000000000	0.00051045477483625
3.2000000000000	0.00097302156614243
3.3000000000000	0.00070687473529629
3.4000000000000	0.00016384619416148
3.5000000000000	6.5326154117817e-05
3.6000000000000	0.00046417095910638
3.7000000000000	0.00084375164611434
3.8000000000000	0.00082714366960731
3.9000000000000	0.00052109901510383
4.0000000000000	0.00024713923541860
4.1000000000000	0.00016961377388593
4.2000000000000	0.00024720799795100
4.3000000000000	0.00040388807440597
4.4000000000000	0.00062317363844961
4.5000000000000	0.00091551246959426
4.6000000000000	0.0012997294842153
4.7000000000000	0.0018226994340891
4.8000000000000	0.0025068867088873
4.9000000000000	0.0032516739133485
5.0000000000000	0.0039127729560779
5.1000000000000	0.0046332774373568
5.2000000000000	0.0060617275480002
5.3000000000000	0.0089622292427055
5.4000000000000	0.013282815519555
5.5000000000000	0.017532455504390
5.6000000000000	0.019375437516465
5.7000000000000	0.017344856421120
5.8000000000000	0.012350081971000
5.9000000000000	0.0075007855991369
6.0000000000000	0.0060690429298104
6.1000000000000	0.0090838700028445
6.2000000000000	0.014519033286392
6.3000000000000	0.018768823533939
6.4000000000000	0.019210261185049
6.5000000000000	0.015818075672607
6.6000000000000	0.010727646396210
6.7000000000000	0.0063963354069635
6.8000000000000	0.0040043866513543
6.9000000000000	0.0032133103943508
7.0000000000000	0.0030564895524692
7.1000000000000	0.0028943698068481
7.2000000000000	0.0026584665271433
7.3000000000000	0.0025059211649014
7.4000000000000	0.0025135107555797
7.5000000000000	0.0027514441092676
7.6000000000000	0.0034805501863433
7.7000000000000	0.0050454339210337
7.8000000000000	0.0074515630686090
7.9000000000000	0.010088796234795
8.0000000000000	0.012021683810380
8.1000000000000	0.012719746246559
8.2000000000000	0.012618692755657
8.3000000000000	0.012979171329640
8.4000000000000	0.015075652343354
8.5000000000000	0.019279800184471
8.6000000000000	0.024678625853546
8.7000000000000	0.029511415879194
8.8000000000000	0.032239297885897
8.9000000000000	0.032723858745010
9.0000000000000	0.032838015466653
9.1000000000000	0.035924630730160
9.2000000000000	0.045000407185026
9.3000000000000	0.060478319521302
9.4000000000000	0.078937028792995
9.5000000000000	0.094301037650506
9.6000000000000	0.10134660368913
9.7000000000000	0.099518471750137
9.8000000000000	0.094203421981919
9.9000000000000	0.093961626945735
10.000000000000	0.10509423115224
10.100000000000	0.12718747408027
10.200000000000	0.15293566970271
10.300000000000	0.17261466651997
10.400000000000	0.18020578135538
10.500000000000	0.17695438476082
10.600000000000	0.17004652075190
10.700000000000	0.16755007839196
10.800000000000	0.17321532263947
10.900000000000	0.18450497947044
11.000000000000	0.19478770403565
11.100000000000	0.19787878083507
11.200000000000	0.19188747114247
11.300000000000	0.18012639584667
11.400000000000	0.16888341020240
11.500000000000	0.16370410828199
11.600000000000	0.16638598339233
11.700000000000	0.17405666382333
11.800000000000	0.18030576361236
11.900000000000	0.17753075799259
12.000000000000	0.15981288291855
