#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=0.9; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) (s=0.9) [Magnitude]"
#--------------------------------------------------------
2.0000000000000	-47.105621954190
2.0100000000000	-46.953735730352
2.0200000000000	-46.802358639837
2.0300000000000	-46.651483936511
2.0400000000000	-46.501104955463
2.0500000000000	-46.351215111662
2.0600000000000	-46.201807898619
2.0700000000000	-46.052876887069
2.0800000000000	-45.904415723668
2.0900000000000	-45.756418129693
2.1000000000000	-45.608877899771
2.1100000000000	-45.461788900615
2.1200000000000	-45.315145069775
2.1300000000000	-45.168940414407
2.1400000000000	-45.023169010049
2.1500000000000	-44.877824999432
2.1600000000000	-44.732902591276
2.1700000000000	-44.588396059138
2.1800000000000	-44.444299740233
2.1900000000000	-44.300608034322
2.2000000000000	-44.157315402559
2.2100000000000	-44.014416366398
2.2200000000000	-43.871905506494
2.2300000000000	-43.729777461626
2.2400000000000	-43.588026927628
2.2500000000000	-43.446648656346
2.2600000000000	-43.305637454597
2.2700000000000	-43.164988183156
2.2800000000000	-43.024695755745
2.2900000000000	-42.884755138047
2.3000000000000	-42.745161346728
2.3100000000000	-42.605909448474
2.3200000000000	-42.466994559039
2.3300000000000	-42.328411842321
2.3400000000000	-42.190156509427
2.3500000000000	-42.052223817778
2.3600000000000	-41.914609070199
2.3700000000000	-41.777307614056
2.3800000000000	-41.640314840367
2.3900000000000	-41.503626182959
2.4000000000000	-41.367237117618
2.4100000000000	-41.231143161258
2.4200000000000	-41.095339871094
2.4300000000000	-40.959822843848
2.4400000000000	-40.824587714931
2.4500000000000	-40.689630157676
2.4600000000000	-40.554945882547
2.4700000000000	-40.420530636386
2.4800000000000	-40.286380201650
2.4900000000000	-40.152490395673
2.5000000000000	-40.018857069932
2.5100000000000	-39.885476109318
2.5200000000000	-39.752343431428
2.5300000000000	-39.619454985857
2.5400000000000	-39.486806753507
2.5500000000000	-39.354394745894
