#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) (s=1) [Magnitude]"
#------------------------------------------------------
2.0000000000000	-47.282235339376
2.0100000000000	-47.131030189557
2.0200000000000	-46.980327501288
2.0300000000000	-46.830121093266
2.0400000000000	-46.680404842394
2.0500000000000	-46.531172683459
2.0600000000000	-46.382418608738
2.0700000000000	-46.234136667603
2.0800000000000	-46.086320966115
2.0900000000000	-45.938965666556
2.1000000000000	-45.792064986960
2.1100000000000	-45.645613200611
2.1200000000000	-45.499604635563
2.1300000000000	-45.354033674068
2.1400000000000	-45.208894752087
2.1500000000000	-45.064182358670
2.1600000000000	-44.919891035445
2.1700000000000	-44.776015376010
2.1800000000000	-44.632550025355
2.1900000000000	-44.489489679236
2.2000000000000	-44.346829083609
2.2100000000000	-44.204563034021
2.2200000000000	-44.062686374947
2.2300000000000	-43.921193999196
2.2400000000000	-43.780080847298
2.2500000000000	-43.639341906858
2.2600000000000	-43.498972211913
2.2700000000000	-43.358966842345
2.2800000000000	-43.219320923203
2.2900000000000	-43.080029624067
2.3000000000000	-42.941088158420
2.3100000000000	-42.802491783062
2.3200000000000	-42.664235797393
2.3300000000000	-42.526315542825
2.3400000000000	-42.388726402146
2.3500000000000	-42.251463798907
2.3600000000000	-42.114523196741
2.3700000000000	-41.977900098778
2.3800000000000	-41.841590047052
2.3900000000000	-41.705588621791
2.4000000000000	-41.569891440878
2.4100000000000	-41.434494159206
2.4200000000000	-41.299392468088
2.4300000000000	-41.164582094606
2.4400000000000	-41.030058801052
2.4500000000000	-40.895818384298
2.4600000000000	-40.761856675247
2.4700000000000	-40.628169538193
2.4800000000000	-40.494752870231
2.4900000000000	-40.361602600721
2.5000000000000	-40.228714690658
2.5100000000000	-40.096085132163
2.5200000000000	-39.963709947820
2.5300000000000	-39.831585190200
2.5400000000000	-39.699706941243
2.5500000000000	-39.568071311732
2.5600000000000	-39.436674440708
2.5700000000000	-39.305512494969
2.5800000000000	-39.174581668482
2.5900000000000	-39.043878181853
2.6000000000000	-38.913398281826
2.6100000000000	-38.783138240702
2.6200000000000	-38.653094355857
2.6300000000000	-38.523262949186
2.6400000000000	-38.393640366604
2.6500000000000	-38.264222977523
2.6600000000000	-38.135007174354
2.6700000000000	-38.005989371987
2.6800000000000	-37.877166007303
2.6900000000000	-37.748533538665
2.7000000000000	-37.620088445430
2.7100000000000	-37.491827227457
2.7200000000000	-37.363746404626
2.7300000000000	-37.235842516347
2.7400000000000	-37.108112121087
2.7500000000000	-36.980551795893
2.7600000000000	-36.853158135919
2.7700000000000	-36.725927753961
2.7800000000000	-36.598857279983
2.7900000000000	-36.471943360670
2.8000000000000	-36.345182658949
2.8100000000000	-36.218571853553
2.8200000000000	-36.092107638556
2.8300000000000	-35.965786722926
2.8400000000000	-35.839605830074
2.8500000000000	-35.713561697420
2.8600000000000	-35.587651075940
2.8700000000000	-35.461870729726
2.8800000000000	-35.336217435567
2.8900000000000	-35.210687982487
2.9000000000000	-35.085279171335
2.9100000000000	-34.959987814342
2.9200000000000	-34.834810734700
2.9300000000000	-34.709744766132
2.9400000000000	-34.584786752470
2.9500000000000	-34.459933547229
2.9600000000000	-34.335182013191
2.9700000000000	-34.210529021983
2.9800000000000	-34.085971453659
2.9900000000000	-33.961506196287
3.0000000000000	-33.837130145531
3.0100000000000	-33.712840204237
3.0200000000000	-33.588633282026
3.0300000000000	-33.464506294876
3.0400000000000	-33.340456164715
3.0500000000000	-33.216479819013
3.0600000000000	-33.092574190371
3.0700000000000	-32.968736216112
3.0800000000000	-32.844962837877
3.0900000000000	-32.721251001219
3.1000000000000	-32.597597655189
3.1100000000000	-32.473999751941
3.1200000000000	-32.350454246317
3.1300000000000	-32.226958095446
3.1400000000000	-32.103508258339
3.1500000000000	-31.980101695479
3.1600000000000	-31.856735368422
3.1700000000000	-31.733406239386
3.1800000000000	-31.610111270845
3.1900000000000	-31.486847425126
3.2000000000000	-31.363611664001
3.2100000000000	-31.240400948276
3.2200000000000	-31.117212237387
3.2300000000000	-30.994042488990
3.2400000000000	-30.870888658551
3.2500000000000	-30.747747698936
3.2600000000000	-30.624616559998
3.2700000000000	-30.501492188167
3.2800000000000	-30.378371526036
3.2900000000000	-30.255251511943
3.3000000000000	-30.132129079562
3.3100000000000	-30.009001157476
3.3200000000000	-29.885864668767
3.3300000000000	-29.762716530591
3.3400000000000	-29.639553653758
3.3500000000000	-29.516372942305
3.3600000000000	-29.393171293079
3.3700000000000	-29.269945595299
3.3800000000000	-29.146692730138
3.3900000000000	-29.023409570286
3.4000000000000	-28.900092979518
3.4100000000000	-28.776739812261
3.4200000000000	-28.653346913160
3.4300000000000	-28.529911116634
3.4400000000000	-28.406429246439
3.4500000000000	-28.282898115223
3.4600000000000	-28.159314524086
3.4700000000000	-28.035675262126
3.4800000000000	-27.911977105995
3.4900000000000	-27.788216819444
3.5000000000000	-27.664391152870
3.5100000000000	-27.540496842865
3.5200000000000	-27.416530611747
3.5300000000000	-27.292489167110
3.5400000000000	-27.168369201357
3.5500000000000	-27.044167391232
3.5600000000000	-26.919880397360
3.5700000000000	-26.795504863770
3.5800000000000	-26.671037417432
3.5900000000000	-26.546474667776
3.6000000000000	-26.421813206222
3.6100000000000	-26.297049605702
3.6200000000000	-26.172180420181
3.6300000000000	-26.047202184177
3.6400000000000	-25.922111412281
3.6500000000000	-25.796904598670
3.6600000000000	-25.671578216629
3.6700000000000	-25.546128718062
3.6800000000000	-25.420552533008
3.6900000000000	-25.294846069154
3.7000000000000	-25.169005711352
3.7100000000000	-25.043027821130
3.7200000000000	-24.916908736205
3.7300000000000	-24.790644770004
3.7400000000000	-24.664232211174
3.7500000000000	-24.537667323103
3.7600000000000	-24.410946343438
3.7700000000000	-24.284065483611
3.7800000000000	-24.157020928358
3.7900000000000	-24.029808835252
3.8000000000000	-23.902425334234
3.8100000000000	-23.774866527152
3.8200000000000	-23.647128487301
3.8300000000000	-23.519207258975
3.8400000000000	-23.391098857021
3.8500000000000	-23.262799266404
3.8600000000000	-23.134304441781
3.8700000000000	-23.005610307082
3.8800000000000	-22.876712755104
3.8900000000000	-22.747607647120
3.9000000000000	-22.618290812493
3.9100000000000	-22.488758048316
3.9200000000000	-22.359005119060
3.9300000000000	-22.229027756242
3.9400000000000	-22.098821658116
3.9500000000000	-21.968382489377
3.9600000000000	-21.837705880901
3.9700000000000	-21.706787429498
3.9800000000000	-21.575622697698
3.9900000000000	-21.444207213572
4.0000000000000	-21.312536470576
4.0100000000000	-21.180605927435
4.0200000000000	-21.048411008067
4.0300000000000	-20.915947101549
4.0400000000000	-20.783209562120
4.0500000000000	-20.650193709244
4.0600000000000	-20.516894827717
4.0700000000000	-20.383308167832
4.0800000000000	-20.249428945607
4.0900000000000	-20.115252343082
4.1000000000000	-19.980773508676
4.1100000000000	-19.845987557629
4.1200000000000	-19.710889572529
4.1300000000000	-19.575474603914
4.1400000000000	-19.439737670984
4.1500000000000	-19.303673762406
4.1600000000000	-19.167277837231
4.1700000000000	-19.030544825928
4.1800000000000	-18.893469631549
4.1900000000000	-18.756047131025
4.2000000000000	-18.618272176607
4.2100000000000	-18.480139597471
4.2200000000000	-18.341644201484
4.2300000000000	-18.202780777154
4.2400000000000	-18.063544095769
4.2500000000000	-17.923928913751
4.2600000000000	-17.783929975223
4.2700000000000	-17.643542014825
4.2800000000000	-17.502759760773
4.2900000000000	-17.361577938203
4.3000000000000	-17.219991272798
4.3100000000000	-17.077994494741
4.3200000000000	-16.935582342989
4.3300000000000	-16.792749569922
4.3400000000000	-16.649490946368
4.3500000000000	-16.505801267044
4.3600000000000	-16.361675356438
4.3700000000000	-16.217108075164
4.3800000000000	-16.072094326827
4.3900000000000	-15.926629065417
4.4000000000000	-15.780707303300
4.4100000000000	-15.634324119813
4.4200000000000	-15.487474670528
4.4300000000000	-15.340154197225
4.4400000000000	-15.192358038620
4.4500000000000	-15.044081641902
4.4600000000000	-14.895320575138
4.4700000000000	-14.746070540594
4.4800000000000	-14.596327389054
4.4900000000000	-14.446087135183
4.5000000000000	-14.295345974022
4.5100000000000	-14.144100298677
4.5200000000000	-13.992346719294
4.5300000000000	-13.840082083397
4.5400000000000	-13.687303497688
4.5500000000000	-13.534008351390
4.5600000000000	-13.380194341250
4.5700000000000	-13.225859498305
4.5800000000000	-13.071002216512
4.5900000000000	-12.915621283382
4.6000000000000	-12.759715912720
4.6100000000000	-12.603285779627
4.6200000000000	-12.446331057881
4.6300000000000	-12.288852459855
4.6400000000000	-12.130851279114
4.6500000000000	-11.972329435858
4.6600000000000	-11.813289525369
4.6700000000000	-11.653734869620
4.6800000000000	-11.493669572248
4.6900000000000	-11.333098577038
4.7000000000000	-11.172027730122
4.7100000000000	-11.010463846069
4.7200000000000	-10.848414778056
4.7300000000000	-10.685889492300
4.7400000000000	-10.522898146951
4.7500000000000	-10.359452175603
4.7600000000000	-10.195564375618
4.7700000000000	-10.031249001413
4.7800000000000	-9.8665218628696
4.7900000000000	-9.7014004289822
4.8000000000000	-9.5359039368733
4.8100000000000	-9.3700535062397
4.8200000000000	-9.2038722592829
4.8300000000000	-9.0373854461227
4.8400000000000	-8.8706205756466
4.8500000000000	-8.7036075516852
4.8600000000000	-8.5363788143357
4.8700000000000	-8.3689694861697
4.8800000000000	-8.2014175229713
4.8900000000000	-8.0337638685368
4.9000000000000	-7.8660526129504
4.9100000000000	-7.6983311536031
4.9200000000000	-7.5306503580700
4.9300000000000	-7.3630647277844
4.9400000000000	-7.1956325612521
4.9500000000000	-7.0284161153395
4.9600000000000	-6.8614817629360
4.9700000000000	-6.6949001450431
4.9800000000000	-6.5287463150784
4.9900000000000	-6.3630998729009
5.0000000000000	-6.1980450857779
5.0100000000000	-6.0336709932113
5.0200000000000	-5.8700714922485
5.0300000000000	-5.7073453996103
5.0400000000000	-5.5455964866882
5.0500000000000	-5.3849334832193
5.0600000000000	-5.2254700452261
5.0700000000000	-5.0673246826523
5.0800000000000	-4.9106206420278
5.0900000000000	-4.7554857394839
5.1000000000000	-4.6020521395332
5.1100000000000	-4.4504560752359
5.1200000000000	-4.3008375057225
5.1300000000000	-4.1533397075483
5.1400000000000	-4.0081087970255
5.1500000000000	-3.8652931815321
5.1600000000000	-3.7250429388396
5.1700000000000	-3.5875091247284
5.1800000000000	-3.4528430105676
5.1900000000000	-3.3211952541109
5.2000000000000	-3.1927150084664
5.2100000000000	-3.0675489760104
5.2200000000000	-2.9458404158768
5.2300000000000	-2.8277281155109
5.2400000000000	-2.7133453385634
5.2500000000000	-2.6028187630370
5.2600000000000	-2.4962674250216
5.2700000000000	-2.3938016844665
5.2800000000000	-2.2955222301908
5.2900000000000	-2.2015191416432
5.3000000000000	-2.1118710247484
5.3100000000000	-2.0266442384950
5.3200000000000	-1.9458922276981
5.3300000000000	-1.8696549756522
5.3400000000000	-1.7979585881859
5.3500000000000	-1.7308150180274
5.3600000000000	-1.6682219354554
5.3700000000000	-1.6101627480630
5.3800000000000	-1.5566067692022
5.3900000000000	-1.5075095314368
5.4000000000000	-1.4628132382302
5.4100000000000	-1.4224473442365
5.4200000000000	-1.3863292520592
5.4300000000000	-1.3543651112627
5.4400000000000	-1.3264507038279
5.4500000000000	-1.3024723991689
5.4600000000000	-1.2823081612762
5.4700000000000	-1.2658285905131
5.4800000000000	-1.2528979830225
5.4900000000000	-1.2433753915559
5.5000000000000	-1.2371156727378
5.5100000000000	-1.2339705072674
5.5200000000000	-1.2337893812406
5.5300000000000	-1.2364205185913
5.5400000000000	-1.2417117565115
5.5500000000000	-1.2495113575666
5.5600000000000	-1.2596687540090
5.5700000000000	-1.2720352214688
5.5800000000000	-1.2864644807326
5.5900000000000	-1.3028132276833
5.6000000000000	-1.3209415926521
5.6100000000000	-1.3407135314275
5.6200000000000	-1.3619971509672
5.6300000000000	-1.3846649734907
5.6400000000000	-1.4085941430848
5.6500000000000	-1.4336665792702
5.6600000000000	-1.4597690821494
5.6700000000000	-1.4867933938218
5.6800000000000	-1.5146362207123
5.6900000000000	-1.5431992213498
5.7000000000000	-1.5723889639519
5.7100000000000	-1.6021168579488
5.7200000000000	-1.6322990633200
5.7300000000000	-1.6628563813363
5.7400000000000	-1.6937141300060
5.7500000000000	-1.7248020072251
5.7600000000000	-1.7560539443378
5.7700000000000	-1.7874079525224
5.7800000000000	-1.8188059641461
5.7900000000000	-1.8501936709676
5.8000000000000	-1.8815203608236
5.8100000000000	-1.9127387542103
5.8200000000000	-1.9438048419610
5.8300000000000	-1.9746777250347
5.8400000000000	-2.0053194572579
5.8500000000000	-2.0356948917128
5.8600000000000	-2.0657715313242
5.8700000000000	-2.0955193840828
5.8800000000000	-2.1249108232341
5.8900000000000	-2.1539204526719
5.9000000000000	-2.1825249776965
5.9100000000000	-2.2107030812296
5.9200000000000	-2.2384353055194
5.9300000000000	-2.2657039393231
5.9400000000000	-2.2924929105114
5.9500000000000	-2.3187876840065
5.9600000000000	-2.3445751649390
5.9700000000000	-2.3698436068882
5.9800000000000	-2.3945825250493
5.9900000000000	-2.4187826141643
6.0000000000000	-2.4424356710394
6.0100000000000	-2.4655345214685
6.0200000000000	-2.4880729513758
6.0300000000000	-2.5100456419938
6.0400000000000	-2.5314481088868
6.0500000000000	-2.5522766446393
6.0600000000000	-2.5725282650239
6.0700000000000	-2.5922006584752
6.0800000000000	-2.6112921386931
6.0900000000000	-2.6298016002115
6.1000000000000	-2.6477284767682
6.1100000000000	-2.6650727023221
6.1200000000000	-2.6818346745673
6.1300000000000	-2.6980152208025
6.1400000000000	-2.7136155660178
6.1500000000000	-2.7286373030701
6.1600000000000	-2.7430823648222
6.1700000000000	-2.7569529981302
6.1800000000000	-2.7702517395648
6.1900000000000	-2.7829813927638
6.2000000000000	-2.7951450073145
6.2100000000000	-2.8067458590720
6.2200000000000	-2.8177874318246
6.2300000000000	-2.8282734002222
6.2400000000000	-2.8382076138888
6.2500000000000	-2.8475940826441
6.2600000000000	-2.8564369627650
6.2700000000000	-2.8647405442205
6.2800000000000	-2.8725092388178
6.2900000000000	-2.8797475692021
6.3000000000000	-2.8864601586552
6.3100000000000	-2.8926517216414
6.3200000000000	-2.8983270550527
6.3300000000000	-2.9034910301082
6.3400000000000	-2.9081485848655
6.3500000000000	-2.9123047173037
6.3600000000000	-2.9159644789423
6.3700000000000	-2.9191329689593
6.3800000000000	-2.9218153287772
6.3900000000000	-2.9240167370856
6.4000000000000	-2.9257424052719
6.4100000000000	-2.9269975732338
6.4200000000000	-2.9277875055472
6.4300000000000	-2.9281174879672
6.4400000000000	-2.9279928242397
6.4500000000000	-2.9274188332021
6.4600000000000	-2.9264008461557
6.4700000000000	-2.9249442044896
6.4800000000000	-2.9230542575402
6.4900000000000	-2.9207363606705
6.5000000000000	-2.9179958735534
6.5100000000000	-2.9148381586466
6.5200000000000	-2.9112685798439
6.5300000000000	-2.9072925012925
6.5400000000000	-2.9029152863643
6.5500000000000	-2.8981422967691
6.5600000000000	-2.8929788918020
6.5700000000000	-2.8874304277131
6.5800000000000	-2.8815022571920
6.5900000000000	-2.8751997289588
6.6000000000000	-2.8685281874526
6.6100000000000	-2.8614929726109
6.6200000000000	-2.8540994197336
6.6300000000000	-2.8463528594229
6.6400000000000	-2.8382586175959
6.6500000000000	-2.8298220155610
6.6600000000000	-2.8210483701554
6.6700000000000	-2.8119429939363
6.6800000000000	-2.8025111954224
6.6900000000000	-2.7927582793801
6.7000000000000	-2.7826895471514
6.7100000000000	-2.7723102970168
6.7200000000000	-2.7616258245928
6.7300000000000	-2.7506414232566
6.7400000000000	-2.7393623845979
6.7500000000000	-2.7277939988909
6.7600000000000	-2.7159415555871
6.7700000000000	-2.7038103438220
6.7800000000000	-2.6914056529362
6.7900000000000	-2.6787327730051
6.8000000000000	-2.6657969953773
6.8100000000000	-2.6526036132162
6.8200000000000	-2.6391579220454
6.8300000000000	-2.6254652202926
6.8400000000000	-2.6115308098318
6.8500000000000	-2.5973599965204
6.8600000000000	-2.5829580907296
6.8700000000000	-2.5683304078655
6.8800000000000	-2.5534822688798
6.8900000000000	-2.5384190007665
6.9000000000000	-2.5231459370443
6.9100000000000	-2.5076684182223
6.9200000000000	-2.4919917922459
6.9300000000000	-2.4761214149239
6.9400000000000	-2.4600626503313
6.9500000000000	-2.4438208711902
6.9600000000000	-2.4274014592228
6.9700000000000	-2.4108098054792
6.9800000000000	-2.3940513106343
6.9900000000000	-2.3771313852552
7.0000000000000	-2.3600554500360
7.0100000000000	-2.3428289359987
7.0200000000000	-2.3254572846595
7.0300000000000	-2.3079459481569
7.0400000000000	-2.2903003893432
7.0500000000000	-2.2725260818348
7.0600000000000	-2.2546285100222
7.0700000000000	-2.2366131690375
7.0800000000000	-2.2184855646770
7.0900000000000	-2.2002512132797
7.1000000000000	-2.1819156415585
7.1100000000000	-2.1634843863839
7.1200000000000	-2.1449629945183
7.1300000000000	-2.1263570223003
7.1400000000000	-2.1076720352771
7.1500000000000	-2.0889136077852
7.1600000000000	-2.0700873224764
7.1700000000000	-2.0511987697896
7.1800000000000	-2.0322535473671
7.1900000000000	-2.0132572594141
7.2000000000000	-1.9942155160006
7.2100000000000	-1.9751339323053
7.2200000000000	-1.9560181278002
7.2300000000000	-1.9368737253758
7.2400000000000	-1.9177063504059
7.2500000000000	-1.8985216297510
7.2600000000000	-1.8793251907017
7.2700000000000	-1.8601226598587
7.2800000000000	-1.8409196619525
7.2900000000000	-1.8217218185998
7.3000000000000	-1.8025347469978
7.3100000000000	-1.7833640585571
7.3200000000000	-1.7642153574709
7.3300000000000	-1.7450942392240
